Date;Open;High;Low;Close;Volume
2019.06.07;7273.20;7284.30;7271.00;7283.70;659
2019.06.07;7283.80;7287.80;7281.80;7283.00;648
2019.06.07;7282.80;7285.10;7281.80;7282.70;399
2019.06.07;7282.80;7284.00;7280.50;7280.50;259
2019.06.07;7280.70;7285.60;7280.60;7285.10;301
2019.06.07;7285.20;7287.10;7284.20;7284.60;250
2019.06.07;7284.50;7286.20;7284.30;7286.10;212
2019.06.07;7286.00;7287.30;7285.20;7285.80;203
2019.06.07;7285.50;7287.30;7284.30;7286.60;181
2019.06.07;7286.70;7287.30;7284.60;7284.60;271
2019.06.07;7284.30;7286.70;7283.60;7285.00;223
2019.06.07;7285.10;7285.10;7281.20;7282.30;289
2019.06.07;7282.20;7284.00;7281.10;7283.70;232
2019.06.07;7283.80;7286.20;7283.10;7285.70;244
2019.06.07;7285.80;7286.80;7282.60;7285.60;479
2019.06.07;7285.50;7286.20;7284.00;7284.80;371
2019.06.07;7284.70;7284.80;7279.80;7280.60;416
2019.06.07;7280.70;7282.50;7276.60;7279.80;560
2019.06.07;7280.00;7291.80;7278.10;7291.50;1102
2019.06.07;7291.60;7293.00;7284.60;7286.70;975
2019.06.07;7286.60;7292.80;7286.60;7288.80;893
2019.06.07;7289.10;7291.10;7285.30;7287.30;772
2019.06.07;7287.20;7307.00;7286.80;7301.30;990
2019.06.07;7301.20;7305.30;7299.80;7304.60;679
2019.06.07;7304.80;7305.30;7300.50;7303.20;617
2019.06.07;7303.10;7306.00;7301.10;7302.20;595
